cohort_month,month_number,users,retention_rate
2020-11,0,9,300.0
2020-11,0,1735,57833.33
2020-11,0,30,1000.0
2020-11,0,53,1766.67
2020-11,0,10,333.33
2020-11,0,16,533.33
2020-11,0,14,466.67
2020-11,0,11,366.67
2020-11,0,8,266.67
2020-11,0,23,766.67
2020-11,0,8,266.67
2020-11,0,14,466.67
2020-11,0,8,266.67
2020-11,0,19,633.33
2020-11,0,21,700.0
2020-11,0,87,2900.0
2020-11,0,18,600.0
2020-11,0,10,333.33
2020-11,0,5,166.67
2020-11,0,2,66.67
2020-11,0,4,133.33
2020-11,0,5,166.67
2020-11,0,2,66.67
2020-11,0,3,100.0
2020-11,0,45,1500.0
2020-11,0,110,3666.67
2020-11,0,13,433.33
2020-11,0,3,100.0
2020-11,0,4,133.33
2020-11,0,11,366.67
2020-11,0,9,300.0
2020-11,0,14,466.67
2020-11,0,8,266.67
2020-11,0,7,233.33
2020-11,0,17,566.67
2020-11,0,16,533.33
2020-11,0,8,266.67
2020-11,0,7,233.33
2020-11,0,7,233.33
2020-11,0,1661,55366.67
2020-11,0,17,566.67
2020-11,0,12,400.0
2020-11,0,7,233.33
2020-11,0,5,166.67
2020-11,0,9,300.0
2020-11,0,1,33.33
2020-11,0,14,100.0
2020-11,0,8,57.14
2020-11,0,8,57.14
2020-11,0,144,1028.57
2020-11,0,2365,16892.86
2020-11,0,15,107.14
2020-11,0,25,178.57
2020-11,0,19,135.71
2020-11,0,29,207.14
2020-11,0,21,150.0
2020-11,0,71,507.14
2020-11,0,14,100.0
2020-11,0,26,185.71
2020-11,0,23,164.29
2020-11,0,56,400.0
2020-11,0,32,228.57
2020-11,0,15,107.14
2020-11,0,10,71.43
2020-11,0,45,321.43
2020-11,0,10,71.43
2020-11,0,5,35.71
2020-11,0,9,64.29
2020-11,0,7,100.0
2020-11,0,15,214.29
2020-11,0,2748,39257.14
2020-11,0,20,285.71
2020-11,0,19,271.43
2020-11,0,21,300.0
2020-11,0,49,700.0
2020-11,0,33,471.43
2020-11,0,203,2900.0
2020-11,0,19,271.43
2020-11,0,25,357.14
2020-11,0,41,585.71
2020-11,0,50,714.29
2020-11,0,26,371.43
2020-11,0,17,242.86
2020-11,0,79,1128.57
2020-11,0,27,385.71
2020-11,0,17,242.86
2020-11,0,4,57.14
2020-11,0,11,157.14
2020-11,0,7,100.0
2020-11,0,13,100.0
2020-11,0,5,38.46
2020-11,0,22,169.23
2020-11,0,26,200.0
2020-11,0,27,207.69
2020-11,0,34,261.54
2020-11,0,41,315.38
2020-11,0,2750,21153.85
2020-11,0,11,84.62
2020-11,0,24,184.62
2020-11,0,45,346.15
2020-11,0,39,300.0
2020-11,0,58,446.15
2020-11,0,23,176.92
2020-11,0,21,161.54
2020-11,0,17,130.77
2020-11,0,212,1630.77
2020-11,0,22,169.23
2020-11,0,5,38.46
2020-11,0,4,30.77
2020-11,0,16,100.0
2020-11,0,4,25.0
2020-11,0,11,68.75
2020-11,0,25,156.25
2020-11,0,23,143.75
2020-11,0,19,118.75
2020-11,0,56,350.0
2020-11,0,42,262.5
2020-11,0,30,187.5
2020-11,0,36,225.0
2020-11,0,8,50.0
2020-11,0,49,306.25
2020-11,0,154,962.5
2020-11,0,48,300.0
2020-11,0,33,206.25
2020-11,0,13,81.25
2020-11,0,2585,16156.25
2020-11,0,17,106.25
2020-11,0,7,43.75
2020-11,0,7,100.0
2020-11,0,14,200.0
2020-11,0,39,557.14
2020-11,0,42,600.0
2020-11,0,52,742.86
2020-11,0,31,442.86
2020-11,0,6,85.71
2020-11,0,18,257.14
2020-11,0,36,514.29
2020-11,0,58,828.57
2020-11,0,2364,33771.43
2020-11,0,101,1442.86
2020-11,0,19,271.43
2020-11,0,14,200.0
2020-11,0,6,85.71
2020-11,0,11,157.14
2020-11,0,10,142.86
2020-11,0,14,200.0
2020-11,0,12,100.0
2020-11,0,7,58.33
2020-11,0,15,125.0
2020-11,0,85,708.33
2020-11,0,11,91.67
2020-11,0,20,166.67
2020-11,0,28,233.33
2020-11,0,23,191.67
2020-11,0,12,100.0
2020-11,0,9,75.0
2020-11,0,23,191.67
2020-11,0,43,358.33
2020-11,0,1759,14658.33
2020-11,0,8,66.67
2020-11,0,9,75.0
2020-11,0,2,16.67
2020-11,0,5,41.67
2020-11,0,9,100.0
2020-11,0,12,133.33
2020-11,0,1661,18455.56
2020-11,0,10,111.11
2020-11,0,12,133.33
2020-11,0,36,400.0
2020-11,0,15,166.67
2020-11,0,33,366.67
2020-11,0,8,88.89
2020-11,0,96,1066.67
2020-11,0,6,66.67
2020-11,0,6,66.67
2020-11,0,4,44.44
2020-11,0,7,77.78
2020-11,0,11,122.22
2020-11,0,6,66.67
2020-11,0,17,100.0
2020-11,0,20,117.65
2020-11,0,24,141.18
2020-11,0,28,164.71
2020-11,0,189,1111.76
2020-11,0,40,235.29
2020-11,0,17,100.0
2020-11,0,24,141.18
2020-11,0,65,382.35
2020-11,0,2533,14900.0
2020-11,0,22,129.41
2020-11,0,18,105.88
2020-11,0,27,158.82
2020-11,0,9,52.94
2020-11,0,15,88.24
2020-11,0,21,100.0
2020-11,0,16,76.19
2020-11,0,37,176.19
2020-11,0,30,142.86
2020-11,0,59,280.95
2020-11,0,2810,13380.95
2020-11,0,98,466.67
2020-11,0,26,123.81
2020-11,0,47,223.81
2020-11,0,195,928.57
2020-11,0,13,61.9
2020-11,0,23,109.52
2020-11,0,40,190.48
2020-11,0,9,42.86
2020-11,0,17,100.0
2020-11,0,9,52.94
2020-11,0,34,200.0
2020-11,0,43,252.94
2020-11,0,61,358.82
2020-11,0,203,1194.12
2020-11,0,18,105.88
2020-11,0,34,200.0
2020-11,0,2849,16758.82
2020-11,0,18,105.88
2020-11,0,17,100.0
2020-11,0,26,152.94
2020-11,0,10,58.82
2020-11,0,23,100.0
2020-11,0,11,47.83
2020-11,0,49,213.04
2020-11,0,45,195.65
2020-11,0,197,856.52
2020-11,0,2878,12513.04
2020-11,0,26,113.04
2020-11,0,41,178.26
2020-11,0,21,91.3
2020-11,0,28,121.74
2020-11,0,20,86.96
2020-11,0,5,21.74
2020-11,0,24,100.0
2020-11,0,17,70.83
2020-11,0,156,650.0
2020-11,0,69,287.5
2020-11,0,2816,11733.33
2020-11,0,47,195.83
2020-11,0,36,150.0
2020-11,0,18,75.0
2020-11,0,29,120.83
2020-11,0,47,195.83
2020-11,0,27,112.5
2020-11,0,23,100.0
2020-11,0,20,86.96
2020-11,0,2298,9991.3
2020-11,0,50,217.39
2020-11,0,124,539.13
2020-11,0,35,152.17
2020-11,0,14,60.87
2020-11,0,24,104.35
2020-11,0,20,86.96
2020-11,0,25,108.7
2020-11,0,20,100.0
2020-11,0,102,510.0
2020-11,0,1983,9915.0
2020-11,0,47,235.0
2020-11,0,18,90.0
2020-11,0,21,105.0
2020-11,0,24,120.0
2020-11,0,35,175.0
2020-11,0,12,60.0
2020-11,0,32,100.0
2020-11,0,27,84.38
2020-11,0,2815,8796.88
2020-11,0,205,640.63
2020-11,0,13,40.63
2020-11,0,39,121.88
2020-11,0,28,87.5
2020-11,0,71,221.88
2020-11,0,47,100.0
2020-11,0,30,63.83
2020-11,0,3078,6548.94
2020-11,0,32,68.09
2020-11,0,68,144.68
2020-11,0,39,82.98
2020-11,0,207,440.43
2020-11,0,55,100.0
2020-11,0,31,56.36
2020-11,0,26,47.27
2020-11,0,160,290.91
2020-11,0,67,121.82
2020-11,0,3256,5920.0
2020-11,0,51,100.0
2020-11,0,43,84.31
2020-11,0,46,90.2
2020-11,0,3024,5929.41
2020-11,0,150,294.12
2020-11,0,66,100.0
2020-11,0,126,190.91
2020-11,0,38,57.58
2020-11,0,2933,4443.94
2020-11,0,58,100.0
2020-11,0,2548,4393.1
2020-11,0,114,196.55
2020-11,0,122,100.0
2020-11,0,2418,1981.97
2020-11,0,3211,100.0
2020-11,1,2,28.57
2020-11,1,2,28.57
2020-11,1,4,57.14
2020-11,1,3,42.86
2020-11,1,5,71.43
2020-11,1,3,42.86
2020-11,1,3,42.86
2020-11,1,4,57.14
2020-11,1,1,14.29
2020-11,1,8,114.29
2020-11,1,5,71.43
2020-11,1,4,57.14
2020-11,1,6,85.71
2020-11,1,3,42.86
2020-11,1,1,14.29
2020-11,1,3,42.86
2020-11,1,1,14.29
2020-11,1,5,71.43
2020-11,1,4,57.14
2020-11,1,4,57.14
2020-11,1,1,14.29
2020-11,1,7,100.0
2020-11,1,2,28.57
2020-11,1,1,14.29
2020-11,1,2,28.57
2020-11,1,16,66.67
2020-11,1,18,75.0
2020-11,1,13,54.17
2020-11,1,9,37.5
2020-11,1,2,8.33
2020-11,1,8,33.33
2020-11,1,2,8.33
2020-11,1,14,58.33
2020-11,1,22,91.67
2020-11,1,4,16.67
2020-11,1,24,100.0
2020-11,1,5,20.83
2020-11,1,10,41.67
2020-11,1,19,79.17
2020-11,1,3,12.5
2020-11,1,3,12.5
2020-11,1,15,62.5
2020-11,1,12,50.0
2020-11,1,6,25.0
2020-11,1,2,8.33
2020-11,1,2,8.33
2020-11,1,5,20.83
2020-11,1,11,45.83
2020-11,1,8,33.33
2020-11,1,3,12.5
2020-11,1,3,12.5
2020-11,1,1,4.17
2020-11,1,5,20.83
2020-11,1,5,20.83
2020-11,1,2,8.33
2020-11,1,10,11.36
2020-11,1,11,12.5
2020-11,1,15,17.05
2020-11,1,7,7.95
2020-11,1,14,15.91
2020-11,1,8,9.09
2020-11,1,8,9.09
2020-11,1,3,3.41
2020-11,1,18,20.45
2020-11,1,35,39.77
2020-11,1,11,12.5
2020-11,1,6,6.82
2020-11,1,4,4.55
2020-11,1,20,22.73
2020-11,1,13,14.77
2020-11,1,24,27.27
2020-11,1,25,28.41
2020-11,1,2,2.27
2020-11,1,3,3.41
2020-11,1,2,2.27
2020-11,1,3,3.41
2020-11,1,3,3.41
2020-11,1,7,7.95
2020-11,1,15,17.05
2020-11,1,17,19.32
2020-11,1,10,11.36
2020-11,1,2,2.27
2020-11,1,2,2.27
2020-11,1,2,2.27
2020-11,1,10,52.63
2020-11,1,11,57.89
2020-11,1,14,73.68
2020-11,1,17,89.47
2020-11,1,1,5.26
2020-11,1,12,63.16
2020-11,1,19,100.0
2020-11,1,10,52.63
2020-11,1,15,78.95
2020-11,1,11,57.89
2020-11,1,17,89.47
2020-11,1,14,73.68
2020-11,1,5,26.32
2020-11,1,12,63.16
2020-11,1,5,26.32
2020-11,1,10,52.63
2020-11,1,6,31.58
2020-11,1,4,21.05
2020-11,1,12,63.16
2020-11,1,4,21.05
2020-11,1,6,31.58
2020-11,1,4,21.05
2020-11,1,6,31.58
2020-11,1,6,31.58
2020-11,1,5,26.32
2020-11,1,1,5.26
2020-11,1,1,5.26
2020-11,1,1,5.26
2020-11,1,6,31.58
2020-11,1,6,31.58
2020-11,1,3,15.79
2020-11,1,16,84.21
2020-11,1,6,31.58
2020-11,1,5,26.32
2020-11,1,24,126.32
2020-11,1,20,105.26
2020-11,1,13,68.42
2020-11,1,15,78.95
2020-11,1,8,42.11
2020-11,1,24,126.32
2020-11,1,1,5.26
2020-11,1,12,63.16
2020-11,1,7,36.84
2020-11,1,4,21.05
2020-11,1,13,68.42
2020-11,1,5,26.32
2020-11,1,11,57.89
2020-11,1,2,10.53
2020-11,1,7,36.84
2020-11,1,12,63.16
2020-11,1,13,68.42
2020-11,1,5,26.32
2020-11,1,1,5.26
2020-11,1,9,47.37
2020-11,1,2,10.53
2020-11,1,2,10.53
2020-11,1,1,5.26
2020-11,1,2,18.18
2020-11,1,3,27.27
2020-11,1,7,63.64
2020-11,1,4,36.36
2020-11,1,8,72.73
2020-11,1,16,145.45
2020-11,1,6,54.55
2020-11,1,11,100.0
2020-11,1,12,109.09
2020-11,1,7,63.64
2020-11,1,10,90.91
2020-11,1,5,45.45
2020-11,1,19,172.73
2020-11,1,11,100.0
2020-11,1,12,109.09
2020-11,1,8,72.73
2020-11,1,4,36.36
2020-11,1,9,81.82
2020-11,1,7,63.64
2020-11,1,2,18.18
2020-11,1,7,63.64
2020-11,1,1,9.09
2020-11,1,1,9.09
2020-11,1,2,18.18
2020-11,1,2,18.18
2020-11,1,3,27.27
2020-11,1,1,9.09
2020-11,1,1,9.09
2020-11,1,6,200.0
2020-11,1,4,133.33
2020-11,1,5,166.67
2020-11,1,8,266.67
2020-11,1,8,266.67
2020-11,1,8,266.67
2020-11,1,5,166.67
2020-11,1,4,133.33
2020-11,1,6,200.0
2020-11,1,4,133.33
2020-11,1,8,266.67
2020-11,1,5,166.67
2020-11,1,7,233.33
2020-11,1,2,66.67
2020-11,1,2,66.67
2020-11,1,2,66.67
2020-11,1,3,100.0
2020-11,1,1,33.33
2020-11,1,3,100.0
2020-11,1,3,100.0
2020-11,1,4,133.33
2020-11,1,4,133.33
2020-11,1,1,33.33
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,3,100.0
2020-11,1,1,33.33
2020-11,1,3,100.0
2020-11,1,5,166.67
2020-11,1,4,133.33
2020-11,1,4,133.33
2020-11,1,1,33.33
2020-11,1,2,66.67
2020-11,1,11,366.67
2020-11,1,3,100.0
2020-11,1,5,166.67
2020-11,1,5,166.67
2020-11,1,2,66.67
2020-11,1,3,100.0
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,6,200.0
2020-11,1,5,166.67
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,7,233.33
2020-11,1,3,100.0
2020-11,1,1,33.33
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,4,133.33
2020-11,1,2,66.67
2020-11,1,1,33.33
2020-11,1,1,33.33
2020-11,1,8,57.14
2020-11,1,2,14.29
2020-11,1,14,100.0
2020-11,1,6,42.86
2020-11,1,6,42.86
2020-11,1,11,78.57
2020-11,1,8,57.14
2020-11,1,4,28.57
2020-11,1,16,114.29
2020-11,1,2,14.29
2020-11,1,10,71.43
2020-11,1,2,14.29
2020-11,1,4,28.57
2020-11,1,9,64.29
2020-11,1,1,7.14
2020-11,1,15,107.14
2020-11,1,14,100.0
2020-11,1,3,21.43
2020-11,1,12,85.71
2020-11,1,4,28.57
2020-11,1,9,64.29
2020-11,1,11,78.57
2020-11,1,3,21.43
2020-11,1,2,14.29
2020-11,1,11,78.57
2020-11,1,4,28.57
2020-11,1,2,14.29
2020-11,1,1,7.14
2020-11,1,1,7.14
2020-11,1,3,42.86
2020-11,1,9,128.57
2020-11,1,15,214.29
2020-11,1,2,28.57
2020-11,1,23,328.57
2020-11,1,21,300.0
2020-11,1,11,157.14
2020-11,1,16,228.57
2020-11,1,8,114.29
2020-11,1,3,42.86
2020-11,1,24,342.86
2020-11,1,7,100.0
2020-11,1,17,242.86
2020-11,1,7,100.0
2020-11,1,3,42.86
2020-11,1,5,71.43
2020-11,1,5,71.43
2020-11,1,5,71.43
2020-11,1,11,157.14
2020-11,1,18,257.14
2020-11,1,6,85.71
2020-11,1,7,100.0
2020-11,1,3,42.86
2020-11,1,18,257.14
2020-11,1,3,42.86
2020-11,1,3,42.86
2020-11,1,1,14.29
2020-11,1,1,14.29
2020-11,1,1,14.29
2020-11,1,1,14.29
2020-11,1,8,61.54
2020-11,1,11,84.62
2020-11,1,15,115.38
2020-11,1,19,146.15
2020-11,1,18,138.46
2020-11,1,8,61.54
2020-11,1,15,115.38
2020-11,1,6,46.15
2020-11,1,6,46.15
2020-11,1,15,115.38
2020-11,1,19,146.15
2020-11,1,11,84.62
2020-11,1,20,153.85
2020-11,1,4,30.77
2020-11,1,18,138.46
2020-11,1,15,115.38
2020-11,1,7,53.85
2020-11,1,16,123.08
2020-11,1,5,38.46
2020-11,1,4,30.77
2020-11,1,11,84.62
2020-11,1,12,92.31
2020-11,1,5,38.46
2020-11,1,1,7.69
2020-11,1,2,15.38
2020-11,1,2,15.38
2020-11,1,2,15.38
2020-11,1,2,15.38
2020-11,1,1,7.69
2020-11,1,5,31.25
2020-11,1,2,12.5
2020-11,1,25,156.25
2020-11,1,17,106.25
2020-11,1,23,143.75
2020-11,1,8,50.0
2020-11,1,17,106.25
2020-11,1,17,106.25
2020-11,1,25,156.25
2020-11,1,15,93.75
2020-11,1,1,6.25
2020-11,1,9,56.25
2020-11,1,12,75.0
2020-11,1,8,50.0
2020-11,1,17,106.25
2020-11,1,10,62.5
2020-11,1,10,62.5
2020-11,1,8,50.0
2020-11,1,4,25.0
2020-11,1,12,75.0
2020-11,1,7,43.75
2020-11,1,7,43.75
2020-11,1,7,43.75
2020-11,1,4,25.0
2020-11,1,9,56.25
2020-11,1,3,18.75
2020-11,1,2,12.5
2020-11,1,5,31.25
2020-11,1,2,12.5
2020-11,1,1,6.25
2020-11,1,9,128.57
2020-11,1,3,42.86
2020-11,1,12,171.43
2020-11,1,3,42.86
2020-11,1,6,85.71
2020-11,1,16,228.57
2020-11,1,15,214.29
2020-11,1,12,171.43
2020-11,1,20,285.71
2020-11,1,20,285.71
2020-11,1,14,200.0
2020-11,1,25,357.14
2020-11,1,5,71.43
2020-11,1,5,71.43
2020-11,1,12,171.43
2020-11,1,9,128.57
2020-11,1,4,57.14
2020-11,1,2,28.57
2020-11,1,5,71.43
2020-11,1,6,85.71
2020-11,1,2,28.57
2020-11,1,4,57.14
2020-11,1,3,42.86
2020-11,1,9,128.57
2020-11,1,3,42.86
2020-11,1,1,14.29
2020-11,1,2,28.57
2020-11,1,7,100.0
2020-11,1,5,71.43
2020-11,1,1,14.29
2020-11,1,7,58.33
2020-11,1,7,58.33
2020-11,1,3,25.0
2020-11,1,2,16.67
2020-11,1,7,58.33
2020-11,1,5,41.67
2020-11,1,5,41.67
2020-11,1,7,58.33
2020-11,1,4,33.33
2020-11,1,4,33.33
2020-11,1,2,16.67
2020-11,1,1,8.33
2020-11,1,6,50.0
2020-11,1,5,41.67
2020-11,1,2,16.67
2020-11,1,3,25.0
2020-11,1,3,25.0
2020-11,1,3,25.0
2020-11,1,1,8.33
2020-11,1,6,50.0
2020-11,1,4,33.33
2020-11,1,5,41.67
2020-11,1,2,16.67
2020-11,1,4,33.33
2020-11,1,1,8.33
2020-11,1,2,16.67
2020-11,1,2,16.67
2020-11,1,1,8.33
2020-11,1,1,8.33
2020-11,1,1,8.33
2020-11,1,5,55.56
2020-11,1,4,44.44
2020-11,1,2,22.22
2020-11,1,5,55.56
2020-11,1,3,33.33
2020-11,1,4,44.44
2020-11,1,6,66.67
2020-11,1,1,11.11
2020-11,1,4,44.44
2020-11,1,4,44.44
2020-11,1,2,22.22
2020-11,1,4,44.44
2020-11,1,2,22.22
2020-11,1,8,88.89
2020-11,1,5,55.56
2020-11,1,2,22.22
2020-11,1,3,33.33
2020-11,1,1,11.11
2020-11,1,2,22.22
2020-11,1,3,33.33
2020-11,1,3,33.33
2020-11,1,3,33.33
2020-11,1,1,11.11
2020-11,1,1,11.11
2020-11,1,2,22.22
2020-11,1,1,11.11
2020-11,1,4,23.53
2020-11,1,7,41.18
2020-11,1,9,52.94
2020-11,1,2,11.76
2020-11,1,12,70.59
2020-11,1,3,17.65
2020-11,1,18,105.88
2020-11,1,4,23.53
2020-11,1,8,47.06
2020-11,1,13,76.47
2020-11,1,1,5.88
2020-11,1,2,11.76
2020-11,1,8,47.06
2020-11,1,18,105.88
2020-11,1,13,76.47
2020-11,1,15,88.24
2020-11,1,15,88.24
2020-11,1,13,76.47
2020-11,1,4,23.53
2020-11,1,2,11.76
2020-11,1,9,52.94
2020-11,1,10,58.82
2020-11,1,3,17.65
2020-11,1,11,64.71
2020-11,1,3,17.65
2020-11,1,2,11.76
2020-11,1,2,11.76
2020-11,1,4,23.53
2020-11,1,1,5.88
2020-11,1,1,5.88
2020-11,1,2,11.76
2020-11,1,12,57.14
2020-11,1,21,100.0
2020-11,1,7,33.33
2020-11,1,20,95.24
2020-11,1,25,119.05
2020-11,1,2,9.52
2020-11,1,12,57.14
2020-11,1,31,147.62
2020-11,1,18,85.71
2020-11,1,18,85.71
2020-11,1,4,19.05
2020-11,1,29,138.1
2020-11,1,14,66.67
2020-11,1,18,85.71
2020-11,1,21,100.0
2020-11,1,5,23.81
2020-11,1,21,100.0
2020-11,1,12,57.14
2020-11,1,14,66.67
2020-11,1,6,28.57
2020-11,1,8,38.1
2020-11,1,10,47.62
2020-11,1,1,4.76
2020-11,1,23,109.52
2020-11,1,4,19.05
2020-11,1,7,33.33
2020-11,1,3,14.29
2020-11,1,6,28.57
2020-11,1,2,9.52
2020-11,1,1,4.76
2020-11,1,1,4.76
2020-11,1,6,35.29
2020-11,1,16,94.12
2020-11,1,7,41.18
2020-11,1,21,123.53
2020-11,1,11,64.71
2020-11,1,8,47.06
2020-11,1,1,5.88
2020-11,1,13,76.47
2020-11,1,6,35.29
2020-11,1,25,147.06
2020-11,1,19,111.76
2020-11,1,13,76.47
2020-11,1,9,52.94
2020-11,1,7,41.18
2020-11,1,11,64.71
2020-11,1,5,29.41
2020-11,1,17,100.0
2020-11,1,7,41.18
2020-11,1,18,105.88
2020-11,1,9,52.94
2020-11,1,1,5.88
2020-11,1,19,111.76
2020-11,1,10,58.82
2020-11,1,2,11.76
2020-11,1,2,11.76
2020-11,1,2,11.76
2020-11,1,2,11.76
2020-11,1,3,17.65
2020-11,1,1,5.88
2020-11,1,3,13.04
2020-11,1,5,21.74
2020-11,1,17,73.91
2020-11,1,13,56.52
2020-11,1,13,56.52
2020-11,1,26,113.04
2020-11,1,21,91.3
2020-11,1,7,30.43
2020-11,1,3,13.04
2020-11,1,24,104.35
2020-11,1,23,100.0
2020-11,1,1,4.35
2020-11,1,28,121.74
2020-11,1,3,13.04
2020-11,1,12,52.17
2020-11,1,20,86.96
2020-11,1,14,60.87
2020-11,1,17,73.91
2020-11,1,2,8.7
2020-11,1,5,21.74
2020-11,1,17,73.91
2020-11,1,9,39.13
2020-11,1,7,30.43
2020-11,1,1,4.35
2020-11,1,1,4.35
2020-11,1,2,8.7
2020-11,1,9,39.13
2020-11,1,1,4.35
2020-11,1,2,8.7
2020-11,1,1,4.35
2020-11,1,4,16.67
2020-11,1,10,41.67
2020-11,1,13,54.17
2020-11,1,13,54.17
2020-11,1,4,16.67
2020-11,1,12,50.0
2020-11,1,25,104.17
2020-11,1,21,87.5
2020-11,1,7,29.17
2020-11,1,27,112.5
2020-11,1,13,54.17
2020-11,1,19,79.17
2020-11,1,3,12.5
2020-11,1,6,25.0
2020-11,1,24,100.0
2020-11,1,10,41.67
2020-11,1,12,50.0
2020-11,1,15,62.5
2020-11,1,5,20.83
2020-11,1,7,29.17
2020-11,1,18,75.0
2020-11,1,4,16.67
2020-11,1,2,8.33
2020-11,1,4,16.67
2020-11,1,3,12.5
2020-11,1,7,29.17
2020-11,1,15,62.5
2020-11,1,1,4.17
2020-11,1,6,25.0
2020-11,1,2,8.33
2020-11,1,1,4.17
2020-11,1,7,30.43
2020-11,1,9,39.13
2020-11,1,4,17.39
2020-11,1,18,78.26
2020-11,1,10,43.48
2020-11,1,10,43.48
2020-11,1,7,30.43
2020-11,1,3,13.04
2020-11,1,6,26.09
2020-11,1,5,21.74
2020-11,1,5,21.74
2020-11,1,4,17.39
2020-11,1,5,21.74
2020-11,1,2,8.7
2020-11,1,10,43.48
2020-11,1,17,73.91
2020-11,1,1,4.35
2020-11,1,5,21.74
2020-11,1,12,52.17
2020-11,1,9,39.13
2020-11,1,12,52.17
2020-11,1,2,8.7
